|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |
|HIP 83081 |16 58 37.2308|-55 59 24.198|  -18.31|  -35.29|    5.68|K5III       | 3.12|
|HIP 27628 |05 50 57.5528|-35 46 09.452|   55.74|  404.68|   37.94|K1.5III     | 3.12|
|HIP 84379 |17 15 01.9242|+24 50 22.515|  -21.14| -157.68|   41.55|A3IVv SB    | 3.12|
|HIP 44127 |08 59 12.8387|+48 02 32.458| -441.12| -215.21|   68.32|A7IV        | 3.12|
|HIP 73334 |14 59 09.6990|-42 06 14.911|  -17.76|  -21.33|    6.05|B2IV        | 3.13|
|HIP 45860 |09 21 03.4588|+34 23 33.093| -222.80|   14.78|   14.69|M0IIIvar    | 3.14|
|HIP 46701 |09 31 13.3538|-57 02 03.810|  -32.58|    6.08|   13.72|K5III       | 3.16|
|HIP 84380 |17 15 02.8543|+36 48 32.959|  -27.35|    2.70|    8.89|K3IIvar     | 3.16|
|HIP 31685 |06 37 45.6717|-43 11 45.326|   -0.43|   -3.99|    7.71|B8III SB    | 3.17|
|HIP 92041 |18 45 39.3530|-26 59 26.806|   51.15|    0.45|   14.14|B8.5III     | 3.17|
|HIP 46853 |09 32 52.3253|+51 40 42.967| -947.06| -535.60|   74.15|F6IV        | 3.17|
|HIP 83895 |17 08 47.2251|+65 42 52.692|  -20.76|   19.15|    9.60|B6III       | 3.17|
|HIP 71908 |14 42 30.6850|-64 58 28.450| -192.64| -234.07|   60.97|F1Vp        | 3.18|
|HIP 23767 |05 06 30.8690|+41 14 04.707|   30.60|  -68.41|   14.87|B3V         | 3.18|
|HIP 87261 |17 49 51.4512|-37 02 36.136|   42.09|   27.77|   25.71|K0/K1III    | 3.19|
|HIP 23685 |05 05 27.6521|-22 22 15.084|   19.27|  -72.35|   14.39|K4III       | 3.19|
|HIP 22449 |04 49 50.1382|+06 57 40.491|  463.44|   11.62|  124.60|F6V         | 3.19|
|HIP 83000 |16 57 40.2706|+09 22 30.203| -293.03|   -9.70|   37.99|K2IIIvar    | 3.19|
|HIP 104732|21 12 56.1815|+30 13 37.493|    6.87|  -68.12|   21.62|G8II SB     | 3.21|
|HIP 116727|23 39 20.9820|+77 37 55.081|  -48.85|  127.18|   72.50|K1IV        | 3.21|
|HIP 75141 |15 21 22.3364|-40 38 50.854|  -19.11|  -24.05|    6.39|B1.5IV      | 3.22|
|HIP 79882 |16 18 19.2408|-04 41 33.389|   82.39|   40.08|   30.34|G8III       | 3.23|
|HIP 89962 |18 21 18.9206|-02 53 49.639| -547.57| -700.72|   52.81|K0III-IV    | 3.23|
|HIP 106032|21 28 39.5750|+70 33 38.501|   12.60|    8.73|    5.48|B2IIIv SB   | 3.23|
|HIP 32607 |06 48 11.5371|-61 56 31.128|  -68.39|  242.03|   32.96|A7IV        | 3.24|
|HIP 99473 |20 11 18.2648|-00 49 17.312|   35.48|    6.05|   11.36|B9.5III     | 3.24|
|HIP 36377 |07 29 13.8783|-43 18 06.809|  -59.86|  188.73|   17.74|K5III SB    | 3.25|
|HIP 68895 |14 06 22.2690|-26 40 55.268|   43.05| -140.82|   32.17|K2III       | 3.25|
|HIP 73714 |15 04 04.2619|-25 16 54.682|  -71.85|  -44.69|   11.17|M3/M4III    | 3.25|
|HIP 93194 |18 58 56.6246|+32 41 22.391|   -2.76|    1.77|    5.14|B9III       | 3.25|
|HIP 17678 |03 47 14.2315|-74 14 21.273|   51.07|  115.27|   15.23|M2III       | 3.26|
|HIP 84970 |17 22 00.5841|-24 59 58.157|   -8.84|  -23.64|    5.79|B2IV        | 3.27|
|HIP 113136|22 54 39.0392|-15 49 14.736|  -44.08|  -24.81|   20.44|A3V         | 3.27|
|HIP 3092  |00 39 19.5974|+30 51 40.413|  115.38|  -83.05|   32.19|K3III...    | 3.27|
|HIP 50099 |10 13 44.2789|-70 02 16.518|  -35.73|    7.55|    8.81|B8III       | 3.29|
|HIP 24305 |05 12 55.8731|-16 12 19.544|   45.66|  -16.13|   17.69|B9IV: HgMn  | 3.29|
|HIP 75458 |15 24 55.7841|+58 57 57.685|   -8.27|   17.30|   31.92|K2III       | 3.29|
|HIP 51576 |10 32 01.4838|-61 41 07.297|  -16.59|   11.42|    6.56|B4Vne       | 3.30|
|HIP 21281 |04 33 59.7184|-55 02 42.020|   58.06|   12.73|   18.56|A0V:        | 3.30|
|HIP 85267 |17 25 23.6599|-56 22 39.678|   -0.77|  -15.85|    2.87|B1Ib        | 3.31|
|HIP 29655 |06 14 52.6967|+22 30 24.566|  -62.53|  -10.24|    9.34|M3III       | 3.31|
|HIP 5165  |01 06 05.1065|-46 43 06.566|  -70.16|   31.60|   16.46|G8IIIvar    | 3.32|
|HIP 84143 |17 12 09.1759|-43 14 18.565|   22.01| -287.41|   45.56|F3p         | 3.32|
|HIP 93864 |19 06 56.4423|-27 40 11.331|  -50.79| -250.51|   27.09|K1/K2III    | 3.32|
|HIP 88048 |17 59 01.5976|-09 46 24.059|  -10.31| -116.12|   21.35|K0III       | 3.32|
|HIP 14354 |03 05 10.4970|+38 50 25.919|  128.69| -106.61|   10.03|M3IIIvar    | 3.32|
|HIP 59774 |12 15 25.4491|+57 01 57.353|  103.56|    7.81|   40.05|A3Vvar      | 3.32|
|HIP 19780 |04 14 25.4311|-62 28 26.324|   41.64|   49.72|   19.98|G7III       | 3.33|
|HIP 54879 |11 14 14.4409|+15 25 47.147|  -59.01|  -79.37|   18.36|A2V         | 3.33|
|HIP 38170 |07 49 17.6587|-24 51 35.222|   -5.56|   -0.71|    2.42|G6Ia        | 3.34|
|HIP 25281 |05 24 28.6171|-02 23 49.698|   -0.54|   -3.21|    3.62|B1V + B2    | 3.35|
|HIP 32362 |06 45 17.4336|+12 53 45.798| -115.16| -190.91|   57.02|F5IV        | 3.35|
|HIP 41704 |08 30 16.0302|+60 43 06.352| -134.31| -107.73|   17.76|G4II-III    | 3.35|
|HIP 8886  |01 54 23.6835|+63 40 12.529|   31.98|  -18.66|    7.38|B2pvar      | 3.35|
